# If units not specified use current design units
Units mils

# Format for pin definition file (comma delineated)
PinNumber,Padstack,x,y,rotation
AD63,C450SM550PM450,5922.3,2502.6,0.0
AD65,C450SM550PM450,5985.1,2502.6,0.0
AD67,C450SM550PM450,6047.8,2502.6,0.0
AD69,C450SM550PM450,6110.5,2502.6,0.0
AE2,C450SM550PM450,4008.9,2484.5,0.0
AE4,C450SM550PM450,4071.6,2484.5,0.0
AE6,C450SM550PM450,4134.3,2484.5,0.0
AE8,C450SM550PM450,4197.1,2484.5,0.0
AE10,C450SM550PM450,4259.8,2484.5,0.0
AE12,C450SM550PM450,4322.5,2484.5,0.0
AE14,C450SM550PM450,4385.3,2484.5,0.0
AE16,C450SM550PM450,4448.0,2484.5,0.0
AE18,C450SM550PM450,4510.8,2484.5,0.0
AE20,C450SM550PM450,4573.5,2484.5,0.0
AE22,C450SM550PM450,4636.2,2484.5,0.0
AE24,C450SM550PM450,4699.0,2484.5,0.0
AE26,C450SM550PM450,4761.7,2484.5,0.0
AE28,C450SM550PM450,4824.4,2484.5,0.0
AE30,C450SM550PM450,4887.2,2484.5,0.0
AE32,C450SM550PM450,4949.9,2484.5,0.0
AE34,C450SM550PM450,5012.6,2484.5,0.0
AE36,C450SM550PM450,5075.4,2484.5,0.0
AE38,C450SM550PM450,5138.1,2484.5,0.0
AE40,C450SM550PM450,5200.9,2484.5,0.0
AE42,C450SM550PM450,5263.6,2484.5,0.0
AE44,C450SM550PM450,5326.3,2484.5,0.0
AE46,C450SM550PM450,5389.1,2484.5,0.0
AE48,C450SM550PM450,5451.8,2484.5,0.0
AE50,C450SM550PM450,5514.5,2484.5,0.0
AE52,C450SM550PM450,5577.3,2484.5,0.0
AE54,C450SM550PM450,5640.0,2484.5,0.0
AE56,C450SM550PM450,5702.7,2484.5,0.0
AE58,C450SM550PM450,5765.5,2484.5,0.0
AE60,C450SM550PM450,5828.2,2484.5,0.0
AE62,C450SM550PM450,5890.9,2484.5,0.0
AE64,C450SM550PM450,5953.7,2484.5,0.0
AE66,C450SM550PM450,6016.4,2484.5,0.0
AE68,C450SM550PM450,6079.2,2484.5,0.0
AF1,C450SM550PM450,3977.5,2466.4,0.0
AF3,C450SM550PM450,4040.2,2466.4,0.0
AF5,C450SM550PM450,4103.0,2466.4,0.0
AF7,C450SM550PM450,4165.7,2466.4,0.0
