# If units not specified use current design units
Units mils

# Format for pin definition file (comma delineated)
PinNumber,Padstack,x,y,rotation,mirror
N6,BALL16M2,661.42,598.43,180.0,0
N7,BALL16M2,629.93,598.43,180.0,0
N8,BALL16M2,598.43,598.43,180.0,0
N9,BALL16M2,566.93,598.43,180.0,0
N10,BALL16M2,535.44,598.43,180.0,0
N11,BALL16M2,503.94,598.43,180.0,0
N12,BALL16M2,472.45,598.43,180.0,0
N13,BALL16M2,440.95,598.43,180.0,0
N14,BALL16M2,409.45,598.43,180.0,0
N15,BALL16M2,377.96,598.43,180.0,0
N16,BALL16M2,346.46,598.43,180.0,0
N17,BALL16M2,314.97,598.43,180.0,0
N18,BALL16M2,283.47,598.43,180.0,0
N19,BALL16M2,251.97,598.43,180.0,0
N20,BALL16M2,220.48,598.43,180.0,0
P1,BALL16M2,818.9,629.93,180.0,0
P2,BALL16M2,787.41,629.93,180.0,0
P3,BALL16M2,755.91,629.93,180.0,0
P4,BALL16M2,724.41,629.93,180.0,0
P5,BALL16M2,692.92,629.93,180.0,0
P6,BALL16M2,661.42,629.93,180.0,0
P7,BALL16M2,629.93,629.93,180.0,0
P8,BALL16M2,598.43,629.93,180.0,0
P9,BALL16M2,566.93,629.93,180.0,0
P10,BALL16M2,535.44,629.93,180.0,0
P11,BALL16M2,503.94,629.93,180.0,0
P12,BALL16M2,472.45,629.93,180.0,0
P13,BALL16M2,440.95,629.93,180.0,0
P14,BALL16M2,409.45,629.93,180.0,0
P15,BALL16M2,377.96,629.93,180.0,0
P16,BALL16M2,346.46,629.93,180.0,0
P17,BALL16M2,314.97,629.93,180.0,0
P18,BALL16M2,283.47,629.93,180.0,0
P19,BALL16M2,251.97,629.93,180.0,0
P20,BALL16M2,220.48,629.93,180.0,0
R1,BALL16M2,818.9,661.42,180.0,0
R2,BALL16M2,787.41,661.42,180.0,0
R3,BALL16M2,755.91,661.42,180.0,0
R4,BALL16M2,724.41,661.42,180.0,0
R5,BALL16M2,692.92,661.42,180.0,0
R6,BALL16M2,661.42,661.42,180.0,0
R7,BALL16M2,629.93,661.42,180.0,0
R8,BALL16M2,598.43,661.42,180.0,0
R9,BALL16M2,566.93,661.42,180.0,0
R10,BALL16M2,535.44,661.42,180.0,0
R11,BALL16M2,503.94,661.42,180.0,0
R12,BALL16M2,472.45,661.42,180.0,0
R13,BALL16M2,440.95,661.42,180.0,0
R14,BALL16M2,409.45,661.42,180.0,0
R15,BALL16M2,377.96,661.42,180.0,0
R16,BALL16M2,346.46,661.42,180.0,0
R17,BALL16M2,314.97,661.42,180.0,0
R18,BALL16M2,283.47,661.42,180.0,0
R19,BALL16M2,251.97,661.42,180.0,0
R20,BALL16M2,220.48,661.42,180.0,0
T1,BALL16M2,818.9,692.92,180.0,0
T2,BALL16M2,787.41,692.92,180.0,0
T3,BALL16M2,755.91,692.92,180.0,0
T4,BALL16M2,724.41,692.92,180.0,0
T5,BALL16M2,692.92,692.92,180.0,0
T6,BALL16M2,661.42,692.92,180.0,0
T7,BALL16M2,629.93,692.92,180.0,0
T8,BALL16M2,598.43,692.92,180.0,0
T9,BALL16M2,566.93,692.92,180.0,0
T10,BALL16M2,535.44,692.92,180.0,0
T11,BALL16M2,503.94,692.92,180.0,0
T12,BALL16M2,472.45,692.92,180.0,0
T13,BALL16M2,440.95,692.92,180.0,0
T14,BALL16M2,409.45,692.92,180.0,0
T15,BALL16M2,377.96,692.92,180.0,0
T16,BALL16M2,346.46,692.92,180.0,0
T17,BALL16M2,314.97,692.92,180.0,0
T18,BALL16M2,283.47,692.92,180.0,0
T19,BALL16M2,251.97,692.92,180.0,0
T20,BALL16M2,220.48,692.92,180.0,0
U1,BALL16M2,818.9,724.41,180.0,0
U2,BALL16M2,787.41,724.41,180.0,0
U3,BALL16M2,755.91,724.41,180.0,0
U4,BALL16M2,724.41,724.41,180.0,0
U5,BALL16M2,692.92,724.41,180.0,0
U6,BALL16M2,661.42,724.41,180.0,0
U7,BALL16M2,629.93,724.41,180.0,0
U8,BALL16M2,598.43,724.41,180.0,0
U9,BALL16M2,566.93,724.41,180.0,0
U10,BALL16M2,535.44,724.41,180.0,0
U11,BALL16M2,503.94,724.41,180.0,0
U12,BALL16M2,472.45,724.41,180.0,0
U13,BALL16M2,440.95,724.41,180.0,0
U14,BALL16M2,409.45,724.41,180.0,0
U15,BALL16M2,377.96,724.41,180.0,0
U16,BALL16M2,346.46,724.41,180.0,0
U17,BALL16M2,314.97,724.41,180.0,0
U18,BALL16M2,283.47,724.41,180.0,0
U19,BALL16M2,251.97,724.41,180.0,0
U20,BALL16M2,220.48,724.41,180.0,0
V1,BALL16M2,818.9,755.91,180.0,0
V2,BALL16M2,787.41,755.91,180.0,0
V3,BALL16M2,755.91,755.91,180.0,0
V4,BALL16M2,724.41,755.91,180.0,0
V5,BALL16M2,692.92,755.91,180.0,0
V6,BALL16M2,661.42,755.91,180.0,0
V7,BALL16M2,629.93,755.91,180.0,0
V8,BALL16M2,598.43,755.91,180.0,0
V9,BALL16M2,566.93,755.91,180.0,0
V10,BALL16M2,535.44,755.91,180.0,0
V11,BALL16M2,503.94,755.91,180.0,0
V12,BALL16M2,472.45,755.91,180.0,0
V13,BALL16M2,440.95,755.91,180.0,0
V14,BALL16M2,409.45,755.91,180.0,0
V15,BALL16M2,377.96,755.91,180.0,0
V16,BALL16M2,346.46,755.91,180.0,0
V17,BALL16M2,314.97,755.91,180.0,0
V18,BALL16M2,283.47,755.91,180.0,0
V19,BALL16M2,251.97,755.91,180.0,0
V20,BALL16M2,220.48,755.91,180.0,0
W1,BALL16M2,818.9,787.41,180.0,0
W2,BALL16M2,787.41,787.41,180.0,0
W3,BALL16M2,755.91,787.41,180.0,0
W4,BALL16M2,724.41,787.41,180.0,0
W5,BALL16M2,692.92,787.41,180.0,0
W6,BALL16M2,661.42,787.41,180.0,0
W7,BALL16M2,629.93,787.41,180.0,0
W8,BALL16M2,598.43,787.41,180.0,0
W9,BALL16M2,566.93,787.41,180.0,0
W10,BALL16M2,535.44,787.41,180.0,0
W11,BALL16M2,503.94,787.41,180.0,0
W12,BALL16M2,472.45,787.41,180.0,0
W13,BALL16M2,440.95,787.41,180.0,0
W14,BALL16M2,409.45,787.41,180.0,0
W15,BALL16M2,377.96,787.41,180.0,0
W16,BALL16M2,346.46,787.41,180.0,0
W17,BALL16M2,314.97,787.41,180.0,0
W18,BALL16M2,283.47,787.41,180.0,0
W19,BALL16M2,251.97,787.41,180.0,0
W20,BALL16M2,220.48,787.41,180.0,0
Y1,BALL16M2,818.9,818.9,180.0,0
Y2,BALL16M2,787.41,818.9,180.0,0
Y3,BALL16M2,755.91,818.9,180.0,0
Y4,BALL16M2,724.41,818.9,180.0,0
Y5,BALL16M2,692.92,818.9,180.0,0
Y6,BALL16M2,661.42,818.9,180.0,0
Y7,BALL16M2,629.93,818.9,180.0,0
Y8,BALL16M2,598.43,818.9,180.0,0
Y9,BALL16M2,566.93,818.9,180.0,0
Y10,BALL16M2,535.44,818.9,180.0,0
Y11,BALL16M2,503.94,818.9,180.0,0
Y12,BALL16M2,472.45,818.9,180.0,0
Y13,BALL16M2,440.95,818.9,180.0,0
Y14,BALL16M2,409.45,818.9,180.0,0
Y15,BALL16M2,377.96,818.9,180.0,0
Y16,BALL16M2,346.46,818.9,180.0,0
Y17,BALL16M2,314.97,818.9,180.0,0
Y18,BALL16M2,283.47,818.9,180.0,0
Y19,BALL16M2,251.97,818.9,180.0,0
Y20,BALL16M2,220.48,818.9,180.0,0
